bar_index,time,open,high,low,close,volume
192,1763562600,265.525,272.21,265.5,268.56,40424492
193,1763649000,270.83,275.43,265.92,266.25,45823568
194,1763735400,265.95,273.33,265.67,271.49,59030832
195,1763994600,270.9,277,270.9,275.92,65585796
196,1764081000,275.27,280.38,275.25,276.97,46914220
197,1764167400,276.96,279.53,276.63,277.55,33431423
198,1764340200,277.26,279,275.9865,278.85,20135620
199,1764599400,278.01,283.42,276.14,283.1,46587722
200,1764685800,283,287.4,282.6301,286.19,53669532
201,1764772200,286.2,288.62,283.3,284.15,43538687
202,1764858600,284.095,284.73,278.59,280.7,43989056
203,1764945000,280.54,281.14,278.05,278.78,47265845
204,1765204200,278.13,279.6693,276.15,277.89,38211832
205,1765290600,278.16,280.03,276.92,277.18,32193256
206,1765377000,277.75,279.75,276.44,278.78,33038318
207,1765463400,279.095,279.59,273.81,278.03,33247986
208,1765549800,277.9,279.22,276.82,278.28,39532887
209,1765809000,280.15,280.15,272.84,274.11,50409078
210,1765895400,272.82,275.5,271.79,274.61,37648628
211,1765981800,275.01,276.16,271.64,271.84,50138743
212,1766068200,273.605,273.63,266.95,272.19,51630721
213,1766154600,272.145,274.6,269.9,273.67,144632048
214,1766413800,272.86,273.88,270.505,270.97,36571827
215,1766500200,270.84,272.5,269.56,272.36,29641999
216,1766586600,272.34,275.43,272.195,273.81,17910574
217,1766759400,274.16,275.37,272.86,273.4,21521802
218,1767018600,272.69,274.36,272.35,273.76,23715213
219,1767105000,272.81,274.08,272.28,273.08,22139617
220,1767191400,273.06,273.68,271.75,271.86,27293639
221,1767364200,272.255,277.84,269,271.01,37838054
222,1767623400,270.64,271.51,266.14,267.26,45647190
223,1767709800,267,267.55,262.12,262.36,52352090
224,1767796200,263.2,263.68,259.81,260.33,48309804
225,1767882600,257.02,259.29,255.7,259.04,50419337
226,1767969000,259.075,260.21,256.22,259.37,39996967
227,1768228200,259.16,261.3,256.8,260.25,45263767
228,1768314600,258.72,261.81,258.39,261.05,45730847
229,1768401000,259.49,261.82,256.71,259.96,40019421
230,1768487400,260.65,261.04,257.05,258.21,39388564
231,1768573800,257.9,258.9,254.93,255.53,72142773
232,1768919400,252.73,254.79,243.42,246.7,80267517
233,1769005800,248.7,251.56,245.18,247.65,54641725
234,1769092200,249.2,251,248.15,248.35,39708340
235,1769178600,247.32,249.41,244.68,248.04,41688982
236,1769437800,251.48,256.56,249.8,255.41,55969234
237,1769524200,259.17,261.95,258.21,258.27,49648271
238,1769610600,257.65,258.855,254.51,256.44,41287971
239,1769697000,258,259.65,254.41,258.28,67253009
240,1769783400,255.165,261.8999,252.18,259.48,92443408
241,1770042600,260.03,270.49,259.205,270.01,73913425
