bar_index,tv_bar_time,tv_open,tv_high,tv_low,tv_close,tv_closedtrades_count,tv_position_size,tv_trade_no,tv_entry_bar_index,tv_exit_bar_index,tv_entry_price,tv_exit_price,tv_size,tv_profit
28,1743082200,1743082200000,221.39,224.99,220.5601,223.85,0,0,,,,,,,
29,1743168600,1743168600000,221.67,223.81,217.68,217.9,0,0,,,,,,,
30,1743427800,1743427800000,217.005,225.62,216.23,222.13,0,0,,,,,,,
31,1743514200,1743514200000,219.805,223.68,218.9,223.19,0,0,,,,,,,
32,1743600600,1743600600000,221.315,225.19,221.02,223.89,0,0,,,,,,,
33,1743687000,1743687000000,205.54,207.49,201.25,203.19,0,0,,,,,,,
34,1743773400,1743773400000,193.89,199.88,187.34,188.38,0,0,,,,,,,
35,1744032600,1744032600000,177.2,194.15,174.62,181.46,0,0,,,,,,,
36,1744119000,1744119000000,186.7,190.335,169.2101,172.42,0,0,,,,,,,
37,1744205400,1744205400000,171.95,200.61,171.89,198.85,0,0,,,,,,,
38,1744291800,1744291800000,189.065,194.7799,183,190.42,0,0,,,,,,,
39,1744378200,1744378200000,186.1,199.54,186.06,198.15,0,0,,,,,,,
40,1744637400,1744637400000,211.44,212.94,201.1621,202.52,0,0,,,,,,,
41,1744723800,1744723800000,201.855,203.51,199.8,202.14,0,0,,,,,,,
42,1744810200,1744810200000,198.36,200.7,192.37,194.27,0,0,,,,,,,
43,1744896600,1744896600000,197.2,198.8335,194.42,196.98,0,0,,,,,,,
44,1745242200,1745242200000,193.265,193.8,189.8112,193.16,0,0,,,,,,,
45,1745328600,1745328600000,196.12,201.59,195.97,199.74,0,0,,,,,,,
46,1745415000,1745415000000,206,208,202.799,204.6,0,0,,,,,,,
47,1745501400,1745501400000,204.89,208.8299,202.94,208.37,0,0,,,,,,,
48,1745587800,1745587800000,206.365,209.75,206.2,209.28,0,0,,,,,,,
49,1745847000,1745847000000,210,211.5,207.46,210.14,0,0,,,,,,,
50,1745933400,1745933400000,208.693,212.24,208.37,211.21,0,0,,,,,,,
51,1746019800,1746019800000,209.3,213.58,206.6705,212.5,0,0,,,,,,,
52,1746106200,1746106200000,209.08,214.56,208.9,213.32,0,0,,,,,,,
53,1746192600,1746192600000,206.09,206.99,202.16,205.35,0,0,,,,,,,
54,1746451800,1746451800000,203.1,204.1,198.21,198.89,0,0,,,,,,,
55,1746538200,1746538200000,198.21,200.65,197.02,198.51,0,0,,,,,,,
56,1746624600,1746624600000,199.17,199.44,193.25,196.25,0,0,,,,,,,
57,1746711000,1746711000000,197.72,200.05,194.6796,197.49,0,0,,,,,,,
58,1746797400,1746797400000,199,200.5399,197.535,198.53,0,0,,,,,,,
59,1747056600,1747056600000,210.97,211.2679,206.75,210.79,0,0,,,,,,,
60,1747143000,1747143000000,210.43,213.4,209,212.93,0,0,,,,,,,
61,1747229400,1747229400000,212.43,213.94,210.5801,212.33,0,0,,,,,,,
62,1747315800,1747315800000,210.95,212.96,209.54,211.45,0,0,,,,,,,
63,1747402200,1747402200000,212.36,212.57,209.77,211.26,0,0,,,,,,,
64,1747661400,1747661400000,207.91,209.48,204.26,208.78,0,0,,,,,,,
65,1747747800,1747747800000,207.67,208.47,205.03,206.86,0,0,,,,,,,
66,1747834200,1747834200000,205.17,207.04,200.71,202.09,0,0,,,,,,,
67,1747920600,1747920600000,200.71,202.75,199.7,201.36,0,0,,,,,,,
68,1748007000,1748007000000,193.665,197.7,193.46,195.27,0,0,,,,,,,
69,1748352600,1748352600000,198.3,200.74,197.43,200.21,0,0,,,,,,,
70,1748439000,1748439000000,200.59,202.73,199.9,200.42,0,0,,,,,,,
71,1748525400,1748525400000,203.575,203.81,198.51,199.95,0,0,,,,,,,
72,1748611800,1748611800000,199.37,201.96,196.78,200.85,0,0,,,,,,,
73,1748871000,1748871000000,200.28,202.13,200.12,201.7,0,0,,,,,,,
74,1748957400,1748957400000,201.35,203.77,200.955,203.27,0,0,,,,,,,
75,1749043800,1749043800000,202.91,206.24,202.1,202.82,0,0,,,,,,,
76,1749130200,1749130200000,203.5,204.75,200.15,200.63,0,0,,,,,,,
77,1749216600,1749216600000,203,205.7,202.05,203.92,0,0,,,,,,,
78,1749475800,1749475800000,204.39,206,200.02,201.45,0,0,,,,,,,
79,1749562200,1749562200000,200.6,204.35,200.57,202.67,0,0,,,,,,,
80,1749648600,1749648600000,203.5,204.5,198.41,198.78,0,0,,,,,,,
81,1749735000,1749735000000,199.08,199.68,197.3601,199.2,0,0,,,,,,,
82,1749821400,1749821400000,199.73,200.37,195.7,196.45,0,0,,,,,,,
83,1750080600,1750080600000,197.3,198.685,196.5636,198.42,0,0,,,,,,,
84,1750167000,1750167000000,197.2,198.39,195.21,195.64,0,0,,,,,,,
85,1750253400,1750253400000,195.94,197.57,195.07,196.58,0,0,,,,,,,
86,1750426200,1750426200000,198.235,201.7,196.855,201,0,0,,,,,,,
87,1750685400,1750685400000,201.625,202.3,198.96,201.5,0,0,,,,,,,
88,1750771800,1750771800000,202.59,203.44,200.2,200.3,0,0,,,,,,,
89,1750858200,1750858200000,201.45,203.67,200.6201,201.56,0,0,,,,,,,
90,1750944600,1750944600000,201.43,202.64,199.46,201,0,0,,,,,,,
91,1751031000,1751031000000,201.89,203.22,200,201.08,0,0,,,,,,,
92,1751290200,1751290200000,202.01,207.39,199.2607,205.17,0,0,,,,,,,
93,1751376600,1751376600000,206.665,210.1865,206.1401,207.82,0,0,,,,,,,
94,1751463000,1751463000000,208.91,213.34,208.14,212.44,0,0,,,,,,,
95,1751549400,1751549400000,212.145,214.65,211.8101,213.55,0,0,,,,,,,
96,1751895000,1751895000000,212.68,216.23,208.8,209.95,0,0,,,,,,,
97,1751981400,1751981400000,210.1,211.43,208.45,210.01,0,0,,,,,,,
98,1752067800,1752067800000,209.53,211.33,207.22,211.14,0,0,,,,,,,
99,1752154200,1752154200000,210.505,213.48,210.03,212.41,0,0,,,,,,,
100,1752240600,1752240600000,210.565,212.13,209.86,211.16,0,0,,,,,,,
101,1752499800,1752499800000,209.925,210.91,207.54,208.62,0,0,,,,,,,
102,1752586200,1752586200000,209.22,211.89,208.92,209.11,0,0,,,,,,,
103,1752672600,1752672600000,210.295,212.4,208.64,210.16,0,0,,,,,,,
104,1752759000,1752759000000,210.57,211.8,209.59,210.02,0,0,,,,,,,
105,1752845400,1752845400000,210.87,211.79,209.7045,211.18,0,0,,,,,,,
106,1753104600,1753104600000,212.1,215.78,211.63,212.48,0,0,,,,,,,
107,1753191000,1753191000000,213.14,214.95,212.2301,214.4,0,0,,,,,,,
108,1753277400,1753277400000,215,215.15,212.41,214.15,0,0,,,,,,,
109,1753363800,1753363800000,213.9,215.69,213.53,213.76,0,0,,,,,,,
