bar_index,time,time_W,time_close_W,sec_w_gaps_on_la_off,sec_w_gaps_off_la_off,sec_w_gaps_on_la_on,sec_w_gaps_off_la_on
90,1750944600,1750968000000,1750685400000,,201,,201.08
91,1751031000,1751054400000,1750685400000,201.08,201.08,,201.08
92,1751290200,1751313600000,1751290200000,,201.08,213.55,213.55
93,1751376600,1751400000000,1751290200000,,201.08,,213.55
94,1751463000,1751486400000,1751290200000,,201.08,,213.55
95,1751549400,1751562000000,1751290200000,213.55,213.55,,213.55
96,1751895000,1751918400000,1751895000000,,213.55,211.16,211.16
97,1751981400,1752004800000,1751895000000,,213.55,,211.16
98,1752067800,1752091200000,1751895000000,,213.55,,211.16
99,1752154200,1752177600000,1751895000000,,213.55,,211.16
100,1752240600,1752264000000,1751895000000,211.16,211.16,,211.16
101,1752499800,1752523200000,1752499800000,,211.16,211.18,211.18
102,1752586200,1752609600000,1752499800000,,211.16,,211.18
103,1752672600,1752696000000,1752499800000,,211.16,,211.18
104,1752759000,1752782400000,1752499800000,,211.16,,211.18
105,1752845400,1752868800000,1752499800000,211.18,211.18,,211.18
106,1753104600,1753128000000,1753104600000,,211.18,213.88,213.88
107,1753191000,1753214400000,1753104600000,,211.18,,213.88
108,1753277400,1753300800000,1753104600000,,211.18,,213.88
109,1753363800,1753387200000,1753104600000,,211.18,,213.88
110,1753450200,1753473600000,1753104600000,213.88,213.88,,213.88
111,1753709400,1753732800000,1753709400000,,213.88,202.38,202.38
112,1753795800,1753819200000,1753709400000,,213.88,,202.38
113,1753882200,1753905600000,1753709400000,,213.88,,202.38
114,1753968600,1753992000000,1753709400000,,213.88,,202.38
115,1754055000,1754078400000,1753709400000,202.38,202.38,,202.38
116,1754314200,1754337600000,1754314200000,,202.38,229.35,229.35
117,1754400600,1754424000000,1754314200000,,202.38,,229.35
118,1754487000,1754510400000,1754314200000,,202.38,,229.35
119,1754573400,1754596800000,1754314200000,,202.38,,229.35
120,1754659800,1754683200000,1754314200000,229.35,229.35,,229.35
121,1754919000,1754942400000,1754919000000,,229.35,231.59,231.59
122,1755005400,1755028800000,1754919000000,,229.35,,231.59
123,1755091800,1755115200000,1754919000000,,229.35,,231.59
124,1755178200,1755201600000,1754919000000,,229.35,,231.59
125,1755264600,1755288000000,1754919000000,231.59,231.59,,231.59
126,1755523800,1755547200000,1755523800000,,231.59,227.76,227.76
127,1755610200,1755633600000,1755523800000,,231.59,,227.76
128,1755696600,1755720000000,1755523800000,,231.59,,227.76
129,1755783000,1755806400000,1755523800000,,231.59,,227.76
130,1755869400,1755892800000,1755523800000,227.76,227.76,,227.76
131,1756128600,1756152000000,1756128600000,,227.76,232.14,232.14
132,1756215000,1756238400000,1756128600000,,227.76,,232.14
133,1756301400,1756324800000,1756128600000,,227.76,,232.14
134,1756387800,1756411200000,1756128600000,,227.76,,232.14
135,1756474200,1756497600000,1756128600000,232.14,232.14,,232.14
136,1756819800,1756843200000,1756819800000,,232.14,239.69,239.69
137,1756906200,1756929600000,1756819800000,,232.14,,239.69
138,1756992600,1757016000000,1756819800000,,232.14,,239.69
139,1757079000,1757102400000,1756819800000,239.69,239.69,,239.69
140,1757338200,1757361600000,1757338200000,,239.69,234.07,234.07
141,1757424600,1757448000000,1757338200000,,239.69,,234.07
142,1757511000,1757534400000,1757338200000,,239.69,,234.07
143,1757597400,1757620800000,1757338200000,,239.69,,234.07
144,1757683800,1757707200000,1757338200000,234.07,234.07,,234.07
145,1757943000,1757966400000,1757943000000,,234.07,245.5,245.5
146,1758029400,1758052800000,1757943000000,,234.07,,245.5
147,1758115800,1758139200000,1757943000000,,234.07,,245.5
148,1758202200,1758225600000,1757943000000,,234.07,,245.5
149,1758288600,1758312000000,1757943000000,245.5,245.5,,245.5
150,1758547800,1758571200000,1758547800000,,245.5,255.46,255.46
151,1758634200,1758657600000,1758547800000,,245.5,,255.46
152,1758720600,1758744000000,1758547800000,,245.5,,255.46
153,1758807000,1758830400000,1758547800000,,245.5,,255.46
154,1758893400,1758916800000,1758547800000,255.46,255.46,,255.46
155,1759152600,1759176000000,1759152600000,,255.46,258.02,258.02
156,1759239000,1759262400000,1759152600000,,255.46,,258.02
157,1759325400,1759348800000,1759152600000,,255.46,,258.02
158,1759411800,1759435200000,1759152600000,,255.46,,258.02
159,1759498200,1759521600000,1759152600000,258.02,258.02,,258.02
160,1759757400,1759780800000,1759757400000,,258.02,245.27,245.27
161,1759843800,1759867200000,1759757400000,,258.02,,245.27
162,1759930200,1759953600000,1759757400000,,258.02,,245.27
163,1760016600,1760040000000,1759757400000,,258.02,,245.27
164,1760103000,1760126400000,1759757400000,245.27,245.27,,245.27
165,1760362200,1760385600000,1760362200000,,245.27,252.29,252.29
166,1760448600,1760472000000,1760362200000,,245.27,,252.29
167,1760535000,1760558400000,1760362200000,,245.27,,252.29
168,1760621400,1760644800000,1760362200000,,245.27,,252.29
169,1760707800,1760731200000,1760362200000,252.29,252.29,,252.29
170,1760967000,1760990400000,1760967000000,,252.29,262.82,262.82
171,1761053400,1761076800000,1760967000000,,252.29,,262.82
172,1761139800,1761163200000,1760967000000,,252.29,,262.82
173,1761226200,1761249600000,1760967000000,,252.29,,262.82
174,1761312600,1761336000000,1760967000000,262.82,262.82,,262.82
175,1761571800,1761595200000,1761571800000,,262.82,270.37,270.37
176,1761658200,1761681600000,1761571800000,,262.82,,270.37
177,1761744600,1761768000000,1761571800000,,262.82,,270.37
178,1761831000,1761854400000,1761571800000,,262.82,,270.37
179,1761917400,1761940800000,1761571800000,270.37,270.37,,270.37
180,1762180200,1762203600000,1762180200000,,270.37,268.47,268.47
181,1762266600,1762290000000,1762180200000,,270.37,,268.47
182,1762353000,1762376400000,1762180200000,,270.37,,268.47
183,1762439400,1762462800000,1762180200000,,270.37,,268.47
184,1762525800,1762549200000,1762180200000,268.47,268.47,,268.47
185,1762785000,1762808400000,1762785000000,,268.47,272.41,272.41
186,1762871400,1762894800000,1762785000000,,268.47,,272.41
187,1762957800,1762981200000,1762785000000,,268.47,,272.41
188,1763044200,1763067600000,1762785000000,,268.47,,272.41
189,1763130600,1763154000000,1762785000000,272.41,272.41,,272.41
190,1763389800,1763413200000,1763389800000,,272.41,271.49,271.49
191,1763476200,1763499600000,1763389800000,,272.41,,271.49
192,1763562600,1763586000000,1763389800000,,272.41,,271.49
193,1763649000,1763672400000,1763389800000,,272.41,,271.49
194,1763735400,1763758800000,1763389800000,271.49,271.49,,271.49
195,1763994600,1764018000000,1763994600000,,271.49,278.85,278.85
196,1764081000,1764104400000,1763994600000,,271.49,,278.85
197,1764167400,1764190800000,1763994600000,,271.49,,278.85
198,1764340200,1764352800000,1763994600000,278.85,278.85,,278.85
199,1764599400,1764622800000,1764599400000,,278.85,278.78,278.78
200,1764685800,1764709200000,1764599400000,,278.85,,278.78
201,1764772200,1764795600000,1764599400000,,278.85,,278.78
202,1764858600,1764882000000,1764599400000,,278.85,,278.78
203,1764945000,1764968400000,1764599400000,278.78,278.78,,278.78
204,1765204200,1765227600000,1765204200000,,278.78,278.28,278.28
205,1765290600,1765314000000,1765204200000,,278.78,,278.28
206,1765377000,1765400400000,1765204200000,,278.78,,278.28
207,1765463400,1765486800000,1765204200000,,278.78,,278.28
208,1765549800,1765573200000,1765204200000,278.28,278.28,,278.28
209,1765809000,1765832400000,1765809000000,,278.28,273.67,273.67
210,1765895400,1765918800000,1765809000000,,278.28,,273.67
211,1765981800,1766005200000,1765809000000,,278.28,,273.67
212,1766068200,1766091600000,1765809000000,,278.28,,273.67
213,1766154600,1766178000000,1765809000000,273.67,273.67,,273.67
214,1766413800,1766437200000,1766413800000,,273.67,273.4,273.4
215,1766500200,1766523600000,1766413800000,,273.67,,273.4
216,1766586600,1766599200000,1766413800000,,273.67,,273.4
217,1766759400,1766782800000,1766413800000,273.4,273.4,,273.4
218,1767018600,1767042000000,1767018600000,,273.4,271.01,271.01
219,1767105000,1767128400000,1767018600000,,273.4,,271.01
220,1767191400,1767214800000,1767018600000,,273.4,,271.01
221,1767364200,1767387600000,1767018600000,271.01,271.01,,271.01
222,1767623400,1767646800000,1767623400000,,271.01,259.37,259.37
223,1767709800,1767733200000,1767623400000,,271.01,,259.37
224,1767796200,1767819600000,1767623400000,,271.01,,259.37
225,1767882600,1767906000000,1767623400000,,271.01,,259.37
226,1767969000,1767992400000,1767623400000,259.37,259.37,,259.37
227,1768228200,1768251600000,1768228200000,,259.37,255.53,255.53
228,1768314600,1768338000000,1768228200000,,259.37,,255.53
229,1768401000,1768424400000,1768228200000,,259.37,,255.53
